Pair,Relatedness,Second Guess,Log Likelihood Ratio,Within Degree Second Guess,Within Degree Log Likelihood Ratio,k0,k1,k2,IBD Length,IBD Number
Chagyrskaya07_._Chagyrskaya19,Unrelated,Third Degree,1.2,,,0.869,0.131,0.0,5,1
Chagyrskaya07_._Chagyrskaya20,Unrelated,Third Degree,1.23,,,0.858,0.142,0.0,17,5
Chagyrskaya07_._Chagyrskaya41,Unrelated,Third Degree,3.2,,,0.924,0.076,0.0,7,2
Chagyrskaya07_._Chagyrskaya60,Unrelated,Third Degree,4.24,,,0.929,0.071,0.0,7,2
Chagyrskaya07_._Okladnikov11,Unrelated,Third Degree,5.07,,,1.0,0.0,0.0,0,1
Chagyrskaya07_._Okladnikov15,Unrelated,Third Degree,8.24,,,1.0,0.0,0.0,0,1
Chagyrskaya1141_._Chagyrskaya12,Unrelated,Third Degree,1.72,,,1.0,0.0,0.0,0,1
Chagyrskaya1141_._Chagyrskaya13,Identical,Parent-Child,2.4,,,0.0,0.0,1.0,0,1
Chagyrskaya1141_._Chagyrskaya14,Unrelated,Third Degree,0.28,,,1.0,0.0,0.0,0,1
Chagyrskaya1141_._Chagyrskaya17,Unrelated,Third Degree,0.85,,,1.0,0.0,0.0,0,1
Chagyrskaya1141_._Chagyrskaya18,Unrelated,Third Degree,0.05,,,0.874,0.126,0.0,0,1
Chagyrskaya1141_._Chagyrskaya19,Identical,Siblings,5.98,,,0.0,0.0,1.0,0,1
Chagyrskaya1141_._Chagyrskaya20,Unrelated,Third Degree,0.52,,,1.0,0.0,0.0,0,1
Chagyrskaya1141_._Chagyrskaya41,Unrelated,Third Degree,0.54,,,1.0,0.0,0.0,0,1
Chagyrskaya1141_._Chagyrskaya60,Unrelated,Third Degree,0.37,,,0.937,0.063,0.0,0,1
Chagyrskaya1141_._Okladnikov11,Third Degree,Unrelated,0.01,,,0.747,0.253,0.0,0,1
Chagyrskaya1141_._Okladnikov15,Unrelated,Third Degree,0.27,,,1.0,0.0,0.0,0,1
Chagyrskaya12_._Chagyrskaya13,Unrelated,Third Degree,6.45,,,1.0,0.0,0.0,0,1
Chagyrskaya12_._Chagyrskaya14,Unrelated,Third Degree,1.45,,,1.0,0.0,0.0,0,1
Chagyrskaya12_._Chagyrskaya17,Unrelated,Third Degree,7.21,,,1.0,0.0,0.0,0,1
Chagyrskaya12_._Chagyrskaya18,Unrelated,Third Degree,3.24,,,0.935,0.065,0.0,0,1
Chagyrskaya12_._Chagyrskaya19,Unrelated,Third Degree,2.11,,,0.931,0.069,0.0,0,1
Chagyrskaya12_._Chagyrskaya20,Unrelated,Third Degree,4.66,,,0.934,0.066,0.0,0,1
Chagyrskaya12_._Chagyrskaya41,Unrelated,Third Degree,9.55,,,1.0,0.0,0.0,0,1
Chagyrskaya12_._Chagyrskaya60,Unrelated,Third Degree,5.48,,,0.936,0.064,0.0,3,2
Chagyrskaya12_._Okladnikov11,Unrelated,Third Degree,4.89,,,1.0,0.0,0.0,0,1
Chagyrskaya12_._Okladnikov15,Unrelated,Third Degree,6.3,,,1.0,0.0,0.0,0,1
Chagyrskaya13_._Chagyrskaya14,Unrelated,Third Degree,0.3,,,1.0,0.0,0.0,0,1
Chagyrskaya13_._Chagyrskaya17,Third Degree,Unrelated,0.66,,,0.747,0.253,0.0,27,2
Chagyrskaya13_._Chagyrskaya18,Unrelated,Third Degree,3.33,,,1.0,0.0,0.0,0,1
Chagyrskaya13_._Chagyrskaya19,Identical,Siblings,40.17,,,0.0,0.0,1.0,0,1
Chagyrskaya13_._Chagyrskaya20,Unrelated,Third Degree,4.13,,,0.937,0.063,0.0,0,1
Chagyrskaya13_._Chagyrskaya41,Unrelated,Third Degree,1.1,,,0.87,0.13,0.0,0,1
Chagyrskaya13_._Chagyrskaya60,Third Degree,Unrelated,0.2,,,0.783,0.217,0.0,27,2
Chagyrskaya13_._Okladnikov11,Unrelated,Third Degree,1.58,,,1.0,0.0,0.0,0,1
Chagyrskaya13_._Okladnikov15,Unrelated,Third Degree,5.16,,,1.0,0.0,0.0,0,1
Chagyrskaya14_._Chagyrskaya17,Unrelated,Third Degree,0.22,,,1.0,0.0,0.0,0,1
Chagyrskaya14_._Chagyrskaya18,Unrelated,Third Degree,0.86,,,1.0,0.0,0.0,0,1
Chagyrskaya14_._Chagyrskaya19,Second Degree,Third Degree,0.01,,,0.498,0.502,0.0,62,1
Chagyrskaya14_._Chagyrskaya20,Unrelated,Third Degree,0.01,,,0.872,0.128,0.0,0,1
Chagyrskaya14_._Chagyrskaya41,Unrelated,Third Degree,0.16,,,0.936,0.064,0.0,0,1
Chagyrskaya14_._Chagyrskaya60,Unrelated,Third Degree,0.9,,,1.0,0.0,0.0,0,1
Chagyrskaya14_._Okladnikov11,Unrelated,Third Degree,0.57,,,1.0,0.0,0.0,0,1
Chagyrskaya14_._Okladnikov15,Unrelated,Third Degree,0.38,,,1.0,0.0,0.0,0,1
Chagyrskaya17_._Chagyrskaya18,Unrelated,Third Degree,0.93,,,0.875,0.125,0.0,0,1
Chagyrskaya17_._Chagyrskaya19,Third Degree,Unrelated,0.76,,,0.748,0.252,0.0,9,1
Chagyrskaya17_._Chagyrskaya20,Unrelated,Third Degree,1.48,,,0.881,0.119,0.0,0,1
Chagyrskaya17_._Chagyrskaya41,Third Degree,Unrelated,0.19,,,0.757,0.243,0.0,0,1
Chagyrskaya17_._Chagyrskaya60,Third Degree,Unrelated,2.05,,,0.726,0.274,0.0,45,5
Chagyrskaya17_._Okladnikov11,Unrelated,Third Degree,0.76,,,1.0,0.0,0.0,0,1
Chagyrskaya17_._Okladnikov15,Unrelated,Third Degree,4.86,,,1.0,0.0,0.0,0,1
Chagyrskaya18_._Chagyrskaya19,Unrelated,Third Degree,0.77,,,0.872,0.128,0.0,0,1
Chagyrskaya18_._Chagyrskaya20,Unrelated,Third Degree,2.48,,,0.932,0.068,0.0,0,1
Chagyrskaya18_._Chagyrskaya41,Unrelated,Third Degree,1.46,,,0.871,0.129,0.0,0,1
Chagyrskaya18_._Chagyrskaya60,Unrelated,Third Degree,1.93,,,0.876,0.124,0.0,6,1
Chagyrskaya18_._Okladnikov11,Unrelated,Third Degree,2.89,,,1.0,0.0,0.0,0,1
Chagyrskaya18_._Okladnikov15,Unrelated,Third Degree,4.06,,,1.0,0.0,0.0,0,1
Chagyrskaya19_._Chagyrskaya20,Unrelated,Third Degree,1.59,,,0.871,0.129,0.0,0,1
Chagyrskaya19_._Chagyrskaya41,Third Degree,Second Degree,0.07,,,0.724,0.276,0.0,20,2
Chagyrskaya19_._Chagyrskaya60,Third Degree,Unrelated,0.25,,,0.765,0.235,0.0,28,3
Chagyrskaya19_._Okladnikov11,Unrelated,Third Degree,0.6,,,1.0,0.0,0.0,0,1
Chagyrskaya19_._Okladnikov15,Unrelated,Third Degree,3.97,,,1.0,0.0,0.0,0,1
Chagyrskaya20_._Chagyrskaya41,Unrelated,Third Degree,3.33,,,0.937,0.063,0.0,0,1
Chagyrskaya20_._Chagyrskaya60,Unrelated,Third Degree,3.7,,,0.931,0.069,0.0,4,1
Chagyrskaya20_._Okladnikov11,Unrelated,Third Degree,3.87,,,1.0,0.0,0.0,0,1
Chagyrskaya20_._Okladnikov15,Unrelated,Third Degree,1.35,,,0.935,0.065,0.0,0,1
Chagyrskaya41_._Chagyrskaya60,Unrelated,Third Degree,1.27,,,0.872,0.128,0.0,0,1
Chagyrskaya41_._Okladnikov11,Unrelated,Third Degree,4.62,,,1.0,0.0,0.0,0,1
Chagyrskaya41_._Okladnikov15,Unrelated,Third Degree,6.58,,,1.0,0.0,0.0,0,1
Chagyrskaya60_._Okladnikov11,Unrelated,Third Degree,3.28,,,1.0,0.0,0.0,0,1
Chagyrskaya60_._Okladnikov15,Unrelated,Third Degree,6.61,,,1.0,0.0,0.0,0,1
Okladnikov11_._Okladnikov15,Unrelated,Third Degree,1.47,,,1.0,0.0,0.0,0,1
